"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000234572.1",10.1683715428796,4.52786905582405,0.821658849935143,1.32864399843958e-11,7.11669607903431e-09,"LINC01800","101927438",NA,NA,NA,NA
"ENSG00000250850.2",14.9778767480328,4.38816723508317,0.759382819899122,4.3027679738095e-12,2.77079134100115e-09,NA,NA,NA,NA,NA,NA
"ENSG00000117322.12",774.213411793648,4.33336081913891,0.641101407366938,1.17105024252206e-14,3.77052154753381e-11,"CR2","1380","GO:0001618","04610","P20023",NA
"ENSG00000104921.10",363.325687066287,4.31694613915569,0.653262954465409,3.26383891411242e-14,7.27534800408844e-11,"FCER2","2208","GO:0002925","04640","K3W4U1",NA
"ENSG00000224875.2",6.51937305738111,4.22217604531039,0.798312672053583,8.1587209889389e-11,3.28365856690932e-08,NA,NA,NA,NA,NA,NA
"ENSG00000177455.7",1168.58633066772,4.10297941881468,0.638486825592702,1.55711359816489e-13,2.25610189238111e-10,"CD19","930","GO:0001923","04640","P15391",NA
"ENSG00000255760.1",82.8038060284981,4.09891123261457,0.668256595381323,9.71318653409058e-13,8.7958974807774e-10,"LINC02422","105369723",NA,NA,NA,NA
"ENSG00000100721.6",368.815161145218,4.09080856516634,0.961433077195673,9.15081849432841e-09,1.39564430699289e-06,"TCL1A","8115","GO:0005515",NA,"A0A024R6G5",NA
"ENSG00000224478.1",6.45978527350582,3.94420565109517,0.885923274573322,6.99776790000427e-09,1.14565716500748e-06,NA,NA,NA,NA,NA,NA
"ENSG00000167483.13",871.520507941796,3.90891846392407,0.586700522541418,4.86506978794854e-14,9.3523362195358e-11,"NIBAN3","199786",NA,NA,"Q86XR2",NA
"ENSG00000229613.1",3.99897349958164,3.907627401279,0.983451667437176,3.87069835661297e-08,4.62336942626513e-06,NA,NA,NA,NA,NA,NA
"ENSG00000198796.6",120.376778972067,3.85630047479529,0.640786850175189,3.26397604126635e-12,2.19961622613526e-09,"ALPK2","115701","GO:0004674",NA,"Q86TB3",NA
"ENSG00000267521.1",5.26638189481084,3.82960894809875,0.98111743836478,6.04864804332971e-08,6.5402135447615e-06,NA,NA,NA,NA,NA,NA
"ENSG00000163534.10",894.752859061604,3.82042232128011,0.743835415432396,4.59549611844818e-10,1.34513420727668e-07,"FCRL1","115350","GO:0005886",NA,"Q96LA6",NA
"ENSG00000174123.6",488.433173842635,3.80886384655341,0.673096265561858,2.94357387389301e-11,1.29240732905563e-08,"TLR10","81793","GO:0002755",NA,"A0A024R9W4",NA
"ENSG00000160505.11",17.1711562768136,3.76808584222963,1.10822087992657,2.08901131745492e-07,1.77417697766212e-05,"NLRP4","147945","GO:0005524",NA,"B2RCA1",NA
"ENSG00000197549.5",32.2323580065483,3.74250476407445,0.793980404546596,4.12298884851225e-09,8.07179482195887e-07,"PRAMENP","649179",NA,NA,NA,NA
"ENSG00000170486.6",82.5352747245426,3.70710433299153,0.787637899977306,4.67868742861017e-09,8.8038314484588e-07,"KRT72","140807","GO:0003674",NA,"Q14CN4",NA
"ENSG00000271856.1",175.867265983482,3.70303620453706,0.675367222391481,1.00585532772615e-10,3.88635675824644e-08,"LINC01215","101929623",NA,NA,NA,NA
"ENSG00000264940.2",42.4952590390867,3.67823820792887,1.12457260340204,3.47461292795977e-07,2.69217469054594e-05,"SNORD3C","780853","GO:0005730",NA,NA,NA
